Tahun,Bulan,Sandi Bank,Sandi Bank LPS,Kelompok BUKU,Unnamed: 5,Flag Syariah,Nama Bank,Kas IDR,Kas Valas,Kas Total,Giro IDR,Giro Valas,Giro Total,SBI IDR,SBIS IDR,SBN IDR,SBSN IDR,SDBI IDR,SB Lainnya IDR,SB Lainnya HTM IDR,Total SB IDR,SBN Valas,SSB Lainnya Valas,SBBI Valas,SSB Valas Lainnya HTM Valas,Total SB Valas,FASBI DF IDR Valas,TD IDR,TD Valas,RR SBN IDR Valas,AL Lainnya IDR Valas,Total OM,GWM IDR,GWM Valas,PLM,Penem Bank Lain IDR,Kewajiban Bank Lain IDR,NAB IDR,Penem Bank Lain Valas,Kewajiban Bank Lain Valas,NAB Valas,NAB Total,TOTAL AL dan net AB,Total AL,DPK Giro IDR,DPK Tabungan IDR,DPK Deposito IDR,DPK IDR,DPK Giro Valas,DPK Tabungan Valas,DPK Deposito Valas,DPK Valas,DPK,NCD IDR,NCD Valas,NCD,Kredit IDR,Kredit Valas,Total Kredit,Repo SB,Kewajiban Repo atau Kewajiban BI,Rasio AL Net AB NCD,Rasio AL Net AB DPK,Rasio AL NCD,Rasio AL DPK
2022,3,115,BUK047,KBMI 1,,0,PT Bank Pembangunan Daerah Jambi,180699870950,0,180699870950,679755336638,0,679755336638,0,0,1551300994949,0,0,975747490841,167074562785,2694123048575,0,0,0,0,0,0,0,0,0,10000000000,10000000000,314615784546.21,0.0,629231569092.42,21293865900,129180140945,-107886275045,0,0,0,-107886275045,1370022573854,1477908848899,4509641434823,1642741213726,4334810169658,10487192818207,0,0,0,0,10487192818207,2279195811530.5,0.0,2279195811530.5,8985110798631,0,8985110798631,0,0,0.601099,0.130637,0.648434,0.140925
2022,3,472,BUK048,KBMI 1,,0,PT Bank Jasa Jakarta,16764215350,700747972,17464963322,553299071268,0,553299071268,0,0,869634450000,0,0,0,0,869634450000,0,0,0,0,0,5800000000,239931166281,0,3049458749130,0,3295189915411,154590382349.55,0.0,309180764699.1,11088885527,6079541266,5009344261,0,0,0,5009344261,4276826597213,4271817252952,384138148789,344156167495,4424718428701,5153012744985,0,0,0,0,5153012744985,660960137755.3,0.0,660960137755.3,2403745528902,0,2403745528902,0,0,6.470627,0.829966,6.463048,0.828994
2022,3,426,BUK066,KBMI 3,,0,PT Bank Mega Tbk.,691170271149,262963431845,954133702994,5673421235577,704081000000,6377502235577,0,0,19430306334960,0,0,721226330993,0,20151532665953,142036620813,0,0,0,142036620813,450000000000,1999516900164,0,9656991261555,0,12106508161719,2217346040455.2,299308166071.1,5332616579123.7,28456966800,1450198353365,-1421741386565,843992900893,3211464499280,-2367471598387,-3789212984952,27412108929551,31201321914503,5917104277750,12669215389269,55325215014821,73911534681840,7220775303576,1794447928924,5950185071055,14965408303555,88876942985395,11108417401587.8,3299585476855.5,14408002878443.3,43686830137084,18836423886116,62523254023200,1349170000000,1309064355910,1.902561,0.308427,2.165554,0.351062
2022,3,9,BUK074,KBMI 4,,0,PT Bank Negara Indonesia (Persero) Tbk.,10672662828177,742594987167,11415257815344,34085352888541,5891290029313,39976642917854,0,0,72244224208007,0,0,14903059761515,248766058298,87396050027820,26348029862077,2982393882284,200089187140,0,29530512931501,29055880318620,14993785926503,10273835000000,21296824810630,681181766,75621007237519,17338733796892.59,2307481603849.36,41599912405333.26,275718291126,1523004153473,-1247285862347,24172827831221,12890071898688,11282755932533,10035470070186,174716101907926,164680631837740,177547468349287,208528204672055,191882120208411,577957793229753,81420461019694,12876007070742,21077612102032,115374080192468,693331873422221,135010913927243.7,30396701637334.0,165407615564577.7,473714362423685,117131333909075,590845696332760,2253880429540,2132372013666,1.056276,0.251994,0.995604,0.23752
2022,3,36,BUK106,KBMI 1,,0,PT Bank China Construction Bank Indonesia Tbk.,192015303225,37082269643,229097572868,1217125842734,351990140965,1569115983699,0,0,1035179603570,0,0,0,0,1035179603570,0,0,0,0,0,235000000000,244930755689,1250329715520,7587370934647,0,9317631405856,439786844865.24,101183310003.98,1183123619742.42,123029940957,80433675859,42596265098,433893575787,0,433893575787,476489840885,10903420632267,10426930791382,1931578536733,1063524936685,11664458022090,14659561495508,1079748611075,60686525814,3918730363310,5059165500199,19718726995707,2064976844234.4,734003577397.7,2798980421632.1,9290474032455,3594940585887,12885414618342,0,0,3.895497,0.552947,3.72526,0.528783
2022,3,531,BUK006,KBMI 1,,0,PT Bank Amar Indonesia Tbk,4212366900,0,4212366900,141481323522,0,141481323522,0,0,358671898486,0,0,462091381274,0,820763279760,0,0,0,0,0,177400000000,99967793344,0,60786926688,0,338154720032,57792852997.98,0.0,115585705995.96,1065693768202,798797729362,266896038840,0,0,0,266896038840,936037788786,669141749946,16659765904,123913361839,1785855305523,1926428433266,0,0,0,0,1926428433266,220757468875.2,0.0,220757468875.2,2351061446257,0,2351061446257,0,0,4.240118,0.485892,3.031117,0.347348
2022,3,498,BUK044,KBMI 1,,0,PT Bank SBI Indonesia,10186018500,1940921413,12126939913,78378836264,57476000000,135854836264,0,0,920191011760,0,0,547480194206,71000000000,1538671205966,0,0,0,0,0,474821367176,0,0,791672224845,0,1266493592021,43194612137.82,19343833654.0,144420725237.64,13995391047,2534378,13992856669,94960381627,905282092547,-810321710920,-796328854251,1331378354677,2127707208928,136197459187,118667762807,1184955182600,1439820404594,199340173558,0,767851509142,967191682700,2407012087294,194955084858.2,136587202981.6,331542287839.8,527310837473,1962673482810,2489984320283,0,0,4.015712,0.553124,6.417604,0.883961
2022,3,501,BUK089,KBMI 1,,0,PT Bank Digital BCA,22992700,0,22992700,179183921055,0,179183921055,0,0,777257082589,0,0,74546728000,657000000000,1508803810589,0,0,0,0,0,59800000000,599832018797,0,3248770345569,0,3908402364366,83612144444.25,0.0,167224288888.5,28007620751,0,28007620751,0,0,0,28007620751,4642037548128,4614029927377,0,875143206434,1911928275041,2787071481475,0,0,0,0,2787071481475,453735789434.3,0.0,453735789434.3,1076060853626,0,1076060853626,0,0,10.230706,1.66556,10.168979,1.655511
2022,3,564,BUK091,KBMI 1,,0,PT Bank Mandiri Taspen,104867347200,0,104867347200,1454420291047,0,1454420291047,0,0,7514040171482,0,0,0,5859159526,7519899331008,0,0,0,0,0,655000000000,0,0,3754036696412,0,4409036696412,1034036436179.01,0.0,2068072872358.02,40754776741,15062243302,25692533439,0,0,0,25692533439,10405947731043,10380255197604,497976600912,6590237162259,27379667442796,34467881205967,0,0,0,0,34467881205967,4864430873230.9,0.0,4864430873230.9,32460679205925,0,32460679205925,0,0,2.139191,0.301902,2.133909,0.301157
2022,3,547,BUS012,KBMI 2,,1,PT Bank BTPN Syariah Tbk.,882833832790,0,882833832790,345389203153,0,345389203153,0,0,0,3262805398399,0,205104098984,3285902780835,6753812278218,0,0,0,0,0,311000000000,0,0,0,0,311000000000,331891805437.14,0.0,497837708155.71,7118160474,0,7118160474,0,0,0,7118160474,7470423961042,7463305800568,26342454895,2831351670009,8205366056334,11063060181238,0,0,0,0,11063060181238,1677844843104.6,0.0,1677844843104.6,10646771094362,0,10646771094362,0,0,4.452392,0.675258,4.44815,0.674614
